"game_str","play_id","timestamp_hit","at_bat","play_per_game","player_position","timestamp_bounce","bounce_position_x","bounce_position_y","field_x","field_y","hangtime"
"1903_01_TeamNE_TeamA2",36,1009.761,8,36,9,1013.226,51.1488,252.3936,123.1272,278.8737,3.46500000000003
"1903_01_TeamNE_TeamA2",69,2004.547,16,69,8,2007.583,42.219,196.2327,13.158,306.8163,3.03600000000006
"1903_01_TeamNE_TeamA2",82,2564.723,20,82,7,2567.33,-140.3022,198.9234,-106.8171,263.3958,2.60699999999997
"1903_01_TeamNE_TeamA2",112,3483.972,28,112,9,3486.414,172.482,189.0894,138.4293,252.7245,2.44200000000001
"1903_01_TeamNE_TeamA2",162,5417.807,42,162,8,5419.655,-35.7654,183.0012,-10.9491,312.3093,1.84799999999996
"1903_01_TeamNE_TeamA2",204,6632.901,52,204,7,6634.452,-119.5113,145.1616,-123.1131,267.5625,1.55100000000039
"1903_01_TeamNE_TeamA2",249,8137.9,65,250,8,8141.86,57.5322,358.365,-9.7491,314.9418,3.96000000000004
"1903_02_TeamNE_TeamA2",20,531.575,5,20,8,533.875,-35.553,252.2007,-23.1219,308.9214,2.29999999999995
"1903_02_TeamNE_TeamA2",40,1148.575,11,40,7,1151.125,-97.5813,203.8296,-139.0986,241.0968,2.54999999999995
"1903_02_TeamNE_TeamA2",89,3806.287,35,89,7,3808.187,-107.7141,202.4346,-130.4346,237.9162,1.90000000000009
"1903_02_TeamNE_TeamA2",174,6822.787,58,175,9,6825.037,61.8585,200.7963,119.6049,273.5898,2.25
"1903_02_TeamNE_TeamA2",198,7671.687,65,199,9,7674.037,78.705,248.649,138.6144,254.1195,2.35000000000036
"1903_03_TeamNE_TeamA2",27,648.878,7,27,9,652.278,226.0887,238.9209,131.502,243.3624,3.39999999999998
"1903_03_TeamNE_TeamA2",57,1587.878,16,57,8,1590.628,-50.2746,238.0983,-26.1279,304.6992,2.75
"1903_03_TeamNE_TeamA2",142,4017.378,37,143,8,4020.378,9.6291,218.1048,-10.3749,309.3981,3
"1903_03_TeamNE_TeamA2",153,4563.378,41,154,9,4568.578,148.6161,335.229,114.1668,251.3433,5.20000000000073
"1903_03_TeamNE_TeamA2",280,9237.828,76,281,8,9239.978,-15.42273,237.012,11.7348,293.6052,2.14999999999964
"1903_04_TeamNC_TeamA1",2,22.119,1,2,7,24.719,-80.8212,189.2787,-123.3615,244.9569,2.6
"1903_04_TeamNC_TeamA1",19,645.269,6,21,8,647.519,-33.3546,209.0082,-24.7104,292.4166,2.25
"1903_04_TeamNC_TeamA1",30,1002.719,8,32,7,1004.569,-105.0009,167.2677,-130.686,251.1666,1.84999999999991
"1903_04_TeamNC_TeamA1",133,4808.369,35,138,7,4810.369,-122.6532,192.3966,-132.2094,243.0378,2
"1903_05_TeamND_TeamA2",63,1774.812,15,63,8,1777.212,-45.3933,253.1145,-20.3175,301.9356,2.40000000000009
"1903_05_TeamND_TeamA2",138,4148.412,33,138,8,4151.012,-69.1248,246.4857,-19.7679,308.694,2.59999999999945
"1903_05_TeamND_TeamA2",205,6492.062,47,205,9,6495.962,135.8976,164.5602,123.7038,248.1603,3.90000000000055
"1903_05_TeamND_TeamA2",208,6570.012,48,208,8,6572.462,63.0249,248.6742,-8.8869,315.729,2.45000000000073
"1903_05_TeamND_TeamA2",272,8763.112,62,272,8,8765.162,-46.0968,208.821,-30.966,311.8806,2.05000000000109
"1903_05_TeamND_TeamA2",321,10685.412,75,321,8,10687.712,17.07054,249.8403,9.4266,324.0327,2.29999999999927
"1903_06_TeamND_TeamA2",140,4530.074,42,142,9,4532.024,81.3762,214.7541,117.6711,267.3252,1.95000000000073
"1903_06_TeamND_TeamA2",163,5365.924,47,165,8,5369.024,4.67382,215.3418,14.3466,299.6334,3.10000000000036
"1903_06_TeamND_TeamA2",212,7120.574,62,215,9,7123.424,169.7703,218.436,112.3488,256.6101,2.85000000000036
"1903_07_TeamND_TeamA2",47,1196.773,11,48,8,1199.273,-47.8332,232.3827,-16.1268,306.9936,2.5
"1903_07_TeamND_TeamA2",52,1429.573,13,53,7,1431.973,-145.7505,154.7268,-141.7821,238.941,2.39999999999986
"1903_07_TeamND_TeamA2",85,2420.973,21,86,9,2425.123,59.9064,324.573,112.3449,250.5969,4.15000000000009
"1903_07_TeamND_TeamA2",158,4705.323,37,159,8,4709.073,32.5029,230.7459,-12.3651,299.8092,3.75
"1903_07_TeamND_TeamA2",174,5160.373,39,175,8,5164.923,-98.3985,372.012,-15.8115,287.6247,4.55000000000018
"1903_07_TeamND_TeamA2",240,7631.623,54,241,8,7633.323,21.34572,181.1397,-23.7288,287.463,1.70000000000073
"1903_08_TeamNJ_TeamB",73,2486.567,18,74,8,2488.867,24.38907,247.4694,5.5635,319.1295,2.30000000000018
"1903_08_TeamNJ_TeamB",154,5421.717,46,155,7,5424.517,-167.5161,234.8859,-140.1621,259.2972,2.80000000000018
"1903_08_TeamNJ_TeamB",155,5510.467,47,156,8,5513.917,84.9138,317.799,15.3987,308.6274,3.45000000000073
"1903_09_TeamNJ_TeamB",137,5142.915,37,138,9,5145.215,86.007,231.1581,128.3643,259.62,2.30000000000018
"1903_09_TeamNJ_TeamB",142,5273.965,38,143,7,5276.215,-130.1736,238.9584,-127.8744,269.7438,2.25
"1903_09_TeamNJ_TeamB",188,7264.265,51,191,9,7267.665,70.788,243.8808,140.2359,247.6395,3.39999999999964
"1903_09_TeamNJ_TeamB",214,8341.615,58,217,9,8344.715,51.7785,218.6589,133.5483,248.115,3.10000000000036
"1903_09_TeamNJ_TeamB",220,8553.665,61,223,8,8555.865,-6.84069,224.7513,-5.8515,318.5532,2.19999999999891
"1903_10_TeamNJ_TeamB",11,419.089,4,12,7,421.239,-58.2399,228.1602,-130.9935,264.3375,2.14999999999998
"1903_10_TeamNJ_TeamB",15,537.089,6,16,8,538.689,-37.347,194.6835,10.5114,309.5394,1.59999999999991
