"game_str","play_id","timestamp_hit","at_bat","play_per_game","player_position","timestamp_bounce","bounce_position_x","bounce_position_y","field_x","field_y","hangtime","bounce_dist_from_kmeanstart","out"
"1903_01_TeamNE_TeamA2",69,2004.547,16,69,8,2007.583,42.219,196.2327,13.158,306.8163,3.03600000000006,155.246423005016,0
"1903_01_TeamNE_TeamA2",162,5417.807,42,162,8,5419.655,-35.7654,183.0012,-10.9491,312.3093,1.84799999999996,85.8670711079449,0
"1903_01_TeamNE_TeamA2",249,8137.9,65,250,8,8141.86,57.5322,358.365,-9.7491,314.9418,3.96000000000004,213.741068372,0
"1903_02_TeamNE_TeamA2",20,531.575,5,20,8,533.875,-35.553,252.2007,-23.1219,308.9214,2.29999999999995,79.1372582890919,0
"1903_03_TeamNE_TeamA2",57,1587.878,16,57,8,1590.628,-50.2746,238.0983,-26.1279,304.6992,2.75,61.1396610098618,0
"1903_03_TeamNE_TeamA2",142,4017.378,37,143,8,4020.378,9.6291,218.1048,-10.3749,309.3981,3,120.054885005328,0
"1903_03_TeamNE_TeamA2",280,9237.828,76,281,8,9239.978,-15.42273,237.012,11.7348,293.6052,2.14999999999964,95.40756154382,0
"1903_04_TeamNC_TeamA1",19,645.269,6,21,8,647.519,-33.3546,209.0082,-24.7104,292.4166,2.25,78.6460537487981,0
"1903_05_TeamND_TeamA2",63,1774.812,15,63,8,1777.212,-45.3933,253.1145,-20.3175,301.9356,2.40000000000009,70.2844909651047,0
"1903_05_TeamND_TeamA2",138,4148.412,33,138,8,4151.012,-69.1248,246.4857,-19.7679,308.694,2.59999999999945,45.944081479928,1
"1903_05_TeamND_TeamA2",208,6570.012,48,208,8,6572.462,63.0249,248.6742,-8.8869,315.729,2.45000000000073,174.697367827191,0
"1903_05_TeamND_TeamA2",272,8763.112,62,272,8,8765.162,-46.0968,208.821,-30.966,311.8806,2.05000000000109,66.3036437072019,0
"1903_05_TeamND_TeamA2",321,10685.412,75,321,8,10687.712,17.07054,249.8403,9.4266,324.0327,2.29999999999927,129.487185046934,0
"1903_06_TeamND_TeamA2",163,5365.924,47,165,8,5369.024,4.67382,215.3418,14.3466,299.6334,3.10000000000036,115.329317748313,0
"1903_07_TeamND_TeamA2",47,1196.773,11,48,8,1199.273,-47.8332,232.3827,-16.1268,306.9936,2.5,62.6832870188852,0
"1903_07_TeamND_TeamA2",158,4705.323,37,159,8,4709.073,32.5029,230.7459,-12.3651,299.8092,3.75,142.762246738779,0
"1903_07_TeamND_TeamA2",174,5160.373,39,175,8,5164.923,-98.3985,372.012,-15.8115,287.6247,4.55000000000018,146.632509745552,0
"1903_07_TeamND_TeamA2",240,7631.623,54,241,8,7633.323,21.34572,181.1397,-23.7288,287.463,1.70000000000073,138.914085989709,0
"1903_08_TeamNJ_TeamB",73,2486.567,18,74,8,2488.867,24.38907,247.4694,5.5635,319.1295,2.30000000000018,136.289686871463,0
"1903_08_TeamNJ_TeamB",155,5510.467,47,156,8,5513.917,84.9138,317.799,15.3987,308.6274,3.45000000000073,215.670717547836,0
"1903_09_TeamNJ_TeamB",220,8553.665,61,223,8,8555.865,-6.84069,224.7513,-5.8515,318.5532,2.19999999999891,103.340666324764,0
"1903_10_TeamNJ_TeamB",15,537.089,6,16,8,538.689,-37.347,194.6835,10.5114,309.5394,1.59999999999991,79.2182917489705,0
"1903_10_TeamNJ_TeamB",43,1543.539,13,46,8,1546.639,-2.648283,275.139,12.5352,321.1725,3.09999999999991,118.284355577676,0
"1903_10_TeamNJ_TeamB",87,3082.139,23,91,8,3084.289,-34.7442,191.7348,-21.5202,322.2555,2.15000000000009,82.7885454827186,0
"1903_11_TeamNC_TeamA1",141,10169.736,41,142,8,10171.936,44.4789,228.7629,21.54,292.9737,2.19999999999891,154.681751005162,0
"1903_11_TeamNC_TeamA1",216,12921.786,66,217,8,12924.086,-53.1687,260.4609,3.1821,302.8314,2.29999999999927,66.6893261994507,0
"1903_12_TeamNC_TeamA1",176,6216.154,47,176,8,6219.404,-29.13015,253.9281,-7.3041,312.8991,3.25,85.7703091155385,0
"1903_12_TeamNC_TeamA1",186,6715.654,49,186,8,6718.554,-35.9547,289.1094,8.3004,302.3742,2.89999999999964,97.5195959576061,0
"1903_13_TeamNG_TeamA3",28,715.984,7,28,8,718.334,44.2071,204.9051,4.1175,305.9661,2.34999999999991,155.797317871332,0
"1903_14_TeamNG_TeamA3",22,730.532,8,22,8,732.482,-35.9352,204.411,-15.9363,320.8617,1.94999999999993,77.2747515265385,0
"1903_14_TeamNG_TeamA3",150,5986.021,50,150,8,5989.271,-5.48295,263.124,-6.9672,320.9565,3.25,111.128929149457,0
"1903_14_TeamNG_TeamA3",182,7105.221,56,182,8,7107.921,47.934,208.9635,6.4074,300.4203,2.70000000000073,159.009024965372,0
"1903_15_TeamNG_TeamA3",94,2988.219,25,94,8,2990.919,-7.11156,221.2329,4.3074,305.6208,2.69999999999982,103.167432197337,0
"1903_15_TeamNG_TeamA3",133,4289.519,33,133,8,4292.869,11.46564,272.5743,-6.9987,332.0601,3.34999999999945,130.305118422278,0
"1903_15_TeamNG_TeamA3",201,6576.369,51,201,8,6578.769,-6.18861,197.6265,11.2947,325.1646,2.40000000000055,107.74978369689,0
"1903_15_TeamNG_TeamA3",258,8744.419,66,258,8,8747.569,-17.50377,254.4792,18.897,308.838,3.14999999999964,96.9922375744494,0
"1903_16_TeamNI_TeamA3",14,419.418,4,14,8,422.918,-32.4897,264.3369,-11.7738,291.4746,3.5,86.695305685022,0
"1903_16_TeamNI_TeamA3",54,1654.168,17,55,8,1656.368,-76.2351,238.2201,-14.067,288.027,2.20000000000005,36.1232581783182,1
"1903_17_TeamNI_TeamA3",85,2871.833,24,85,8,2875.533,-14.46465,380.124,-9.6609,322.02,3.69999999999982,181.549012255397,0
"1903_17_TeamNI_TeamA3",154,5453.813,45,154,8,5456.413,-38.0784,274.2723,-5.1741,318.7656,2.59999999999945,86.8469842587281,0
