"game_str","play_id","timestamp_catch","timestamp_hit","player_position","field_x_catch","field_y_catch","field_x_hit","field_y_hit","straight_distance","hit_timestamp_sec","catch_timestamp_sec","time_difference_sec","average_speed_fps","move_x","move_y","bounce_dist_from_kmeanstart","out"
"1903_01_TeamNE_TeamA2",129,4191591,4187730,7,-127.8996,243.2082,-129.0147,244.407,1.63724446861182,4187.73,4191.591,3.86100000000079,0.424046741417117,1.1151,-1.19880000000001,25.533002710218,1
"1903_01_TeamNE_TeamA2",204,6639039,6632901,7,-163.0977,247.656,-123.1131,267.5625,44.6658368264829,6632.901,6639.039,6.13799999999992,7.27693659603837,-39.9846,-19.9065,57.7291960907997,1
"1903_01_TeamNE_TeamA2",25,615543,612606,7,-126.7689,257.691,-127.9233,258.3885,1.34875706114928,612.606,615.543,2.93700000000001,0.459229506690255,1.1544,-0.697500000000048,36.7409511064969,1
"1903_01_TeamNE_TeamA2",82,2570333,2564723,7,-140.7423,254.805,-106.8171,263.3958,34.9960146256685,2564.723,2570.333,5.61000000000013,6.23814877462882,-33.9252,-8.5908,42.8185361063407,1
"1903_02_TeamNE_TeamA2",175,6866087,6860237,7,-129.4698,277.8876,-116.9727,243.3426,36.7360113976736,6860.237,6866.087,5.85000000000036,6.279660067978,-12.4971,34.545,56.357531402644,1
"1903_02_TeamNE_TeamA2",180,6977137,6973637,7,-171.3702,189.0786,-144.213,230.4435,49.4830118712473,6973.637,6977.137,3.5,14.1380033917849,-27.1572,-41.3649,71.1101147938885,0
"1903_02_TeamNE_TeamA2",4,88025,84875,7,-100.5819,247.8102,-111.0378,255.1824,12.7935600068941,84.875,88.025,3.15000000000001,4.06144762123621,10.4559,-7.37219999999999,24.6780435134149,1
"1903_02_TeamNE_TeamA2",40,1151875,1148575,7,-109.5693,225.8958,-139.0986,241.0968,33.2121959450139,1148.575,1151.875,3.29999999999995,10.0643018015195,29.5293,-15.201,0.993961835283436,1
"1903_02_TeamNE_TeamA2",43,1335325,1331975,7,-111.7371,234.807,-122.3418,255.7842,23.5053734692729,1331.975,1335.325,3.35000000000014,7.01652939381253,10.6047,-20.9772,9.95965689218257,1
"1903_02_TeamNE_TeamA2",89,3808637,3806287,7,-121.0779,226.2792,-130.4346,237.9162,14.9320997816784,3806.287,3808.637,2.35000000000036,6.35408501347918,9.35669999999999,-11.637,11.1515120521838,1
"1903_02_TeamNE_TeamA2",91,3870787,3865687,7,-79.2348,279.2532,-114.0576,256.2495,41.7348489098738,3865.687,3870.787,5.09999999999991,8.18330370781855,34.8228,23.0037,62.3691208955201,1
