"game_str","play_id","timestamp_hit","at_bat","play_per_game","player_position","timestamp_bounce","bounce_position_x","bounce_position_y","field_x","field_y","hangtime","bounce_dist_from_kmeanstart","out"
"1903_01_TeamNE_TeamA2",82,2564.723,20,82,7,2567.33,-140.3022,198.9234,-106.8171,263.3958,2.60699999999997,253.09954425409,0
"1903_01_TeamNE_TeamA2",204,6632.901,52,204,7,6634.452,-119.5113,145.1616,-123.1131,267.5625,1.55100000000039,246.101862163321,0
"1903_02_TeamNE_TeamA2",40,1148.575,11,40,7,1151.125,-97.5813,203.8296,-139.0986,241.0968,2.54999999999995,210.107092137158,0
"1903_02_TeamNE_TeamA2",89,3806.287,35,89,7,3808.187,-107.7141,202.4346,-130.4346,237.9162,1.90000000000009,220.335466999784,0
"1903_04_TeamNC_TeamA1",2,22.119,1,2,7,24.719,-80.8212,189.2787,-123.3615,244.9569,2.6,196.205438911942,0
"1903_04_TeamNC_TeamA1",30,1002.719,8,32,7,1004.569,-105.0009,167.2677,-130.686,251.1666,1.84999999999991,225.222605812135,0
"1903_04_TeamNC_TeamA1",133,4808.369,35,138,7,4810.369,-122.6532,192.3966,-132.2094,243.0378,2,236.638190237936,0
"1903_07_TeamND_TeamA2",52,1429.573,13,53,7,1431.973,-145.7505,154.7268,-141.7821,238.941,2.39999999999986,267.857956722952,0
"1903_08_TeamNJ_TeamB",154,5421.717,46,155,7,5424.517,-167.5161,234.8859,-140.1621,259.2972,2.80000000000018,278.080091459322,0
"1903_09_TeamNJ_TeamB",142,5273.965,38,143,7,5276.215,-130.1736,238.9584,-127.8744,269.7438,2.25,240.813138656808,0
"1903_10_TeamNJ_TeamB",11,419.089,4,12,7,421.239,-58.2399,228.1602,-130.9935,264.3375,2.14999999999998,168.851012389404,0
"1903_10_TeamNJ_TeamB",52,1880.939,15,55,7,1884.839,-137.6985,168.7785,-142.7931,248.94,3.89999999999986,256.311643207063,0
"1903_11_TeamNC_TeamA1",42,1423.85,14,42,7,1426.75,-172.722,226.524,-116.9178,264.0735,2.90000000000009,283.34014584274,0
"1903_11_TeamNC_TeamA1",166,10990.386,49,167,7,10993.986,-175.4001,286.4667,-127.8153,216.5631,3.60000000000036,290.993612818879,0
"1903_11_TeamNC_TeamA1",196,12045.886,59,197,7,12049.136,-73.1268,235.2465,-129.3021,242.6073,3.25,183.700797815494,0
"1903_11_TeamNC_TeamA1",216,12921.786,66,217,7,12924.086,-53.1687,260.4609,-125.5146,258.3363,2.29999999999927,166.085571693062,0
"1903_11_TeamNC_TeamA1",253,14155.236,79,255,7,14158.536,-210.2493,269.3229,-127.6809,242.9937,3.29999999999927,322.904627033484,0
"1903_15_TeamNG_TeamA3",125,4014.219,32,125,7,4016.219,-118.6785,160.5888,-104.9853,273.4617,2,240.261172985339,0
"1903_16_TeamNI_TeamA3",71,2210.868,22,72,7,2213.218,-115.6287,144.9825,-113.6619,247.7598,2.34999999999991,242.540780236033,0
"1903_16_TeamNI_TeamA3",111,3362.718,32,112,7,3364.818,-89.0649,190.6788,-114.7893,272.1906,2.10000000000036,203.962295962582,0
"1903_16_TeamNI_TeamA3",262,8390.371,69,263,7,8392.671,-142.5567,211.2303,-123.435,246.0825,2.30000000000109,254.006801992359,0
