"game_str","play_id","at_bat.x","play_per_game","timestamp","player_position","event_code","X.x","home_team","away_team","at_bat.y","inning","top_bottom_inning","pitcher","catcher","first_base","second_base","third_base","shortstop","left_field","center_field","right_field","batter","first_baserunner","second_baserunner","third_baserunner","event_shifted","bounce_after_bip","acquired_after_bip","X.y","ball_position_x","ball_position_y","ball_position_z","radius"
"1903_01_TeamNE_TeamA2",60,14,60,1784272,8,2,60,"TeamA2","TeamNE",14,2,"Bottom",8523,7071,5616,6993,9762,6000,3790,4474,7148,2790,0,0,0,4,FALSE,TRUE,2003,35.6124,312.321,2.934741,314.344794890515
"1903_01_TeamNE_TeamA2",79,19,79,2400746,8,2,79,"TeamA2","TeamNE",19,2,"Bottom",8523,7071,5616,6993,9762,6000,3790,4474,7148,1557,0,0,0,4,FALSE,TRUE,2907,-6.70185,301.224,5.5131,301.298544585636
"1903_01_TeamNE_TeamA2",91,23,91,2811134,9,2,91,"TeamA2","TeamNE",23,3,"Top",2171,2790,2526,2053,2382,1972,1557,1751,2973,3790,0,0,4474,4,FALSE,TRUE,3691,166.5195,192.4887,5.0214,254.520418646403
"1903_01_TeamNE_TeamA2",94,24,94,2901752,9,2,94,"TeamA2","TeamNE",24,3,"Top",2171,2790,2526,2053,2382,1972,1557,1751,2973,9762,0,0,4474,4,FALSE,TRUE,3940,140.5653,228.3552,5.12061,268.15051916998
"1903_01_TeamNE_TeamA2",109,27,109,3399690,8,2,109,"TeamA2","TeamNE",27,3,"Bottom",8523,7071,5616,6993,9762,6000,3790,4474,7148,1297,2053,0,0,4,FALSE,TRUE,4316,-46.9362,364.743,4.75875,367.750544417598
"1903_01_TeamNE_TeamA2",129,34,129,4191591,7,2,129,"TeamA2","TeamNE",34,4,"Bottom",8523,7071,5616,6993,9762,6000,3790,4474,7148,1972,0,0,1751,4,FALSE,TRUE,5948,-125.4354,251.3175,4.36278,280.881692852008
"1903_01_TeamNE_TeamA2",178,44,178,5823938,8,2,177,"TeamA2","TeamNE",44,5,"Top",2171,2790,2526,2053,2382,1972,1557,1751,2973,7148,6000,0,0,4,FALSE,TRUE,7381,73.9899,320.67,6.37224,329.095357308501
"1903_01_TeamNE_TeamA2",206,53,206,6692598,8,2,205,"TeamA2","TeamNE",53,6,"Top",2171,2790,2526,2053,2382,1972,1557,1751,2973,6993,0,5616,0,4,FALSE,TRUE,8631,2.313177,278.334,4.30686,278.343612004719
"1903_01_TeamNE_TeamA2",214,55,214,6899013,9,2,213,"TeamA2","TeamNE",55,6,"Top",2171,2790,2526,2053,2382,1972,1557,1751,2973,7071,6000,5616,0,4,FALSE,TRUE,8965,114.897,239.6745,4.06017,265.791622439929
"1903_01_TeamNE_TeamA2",220,56,220,7049691,9,2,219,"TeamA2","TeamNE",56,6,"Top",2171,2790,2526,2053,2382,1972,1557,1751,2973,7148,6000,5616,0,4,FALSE,TRUE,9292,97.4388,316.956,6.20967,331.595273913004
"1903_01_TeamNE_TeamA2",244,64,245,8012236,8,2,243,"TeamA2","TeamNE",64,7,"Top",2242,2790,2526,2053,2382,1972,1557,1751,2973,6803,9762,3790,0,4,FALSE,TRUE,10503,-14.41464,279.3096,4.84254,279.681308811457
"1903_01_TeamNE_TeamA2",253,66,254,8297224,9,2,252,"TeamA2","TeamNE",66,7,"Top",2242,2790,2526,2053,2382,1972,1557,1751,2973,6993,0,5616,0,4,FALSE,TRUE,11159,73.6665,233.088,5.02197,244.451976809863
"1903_01_TeamNE_TeamA2",269,70,270,8918351,8,2,267,"TeamA2","TeamNE",70,7,"Bottom",4044,7071,5616,6993,9762,6000,3790,4474,7148,1972,0,0,2790,4,FALSE,TRUE,11678,-30.1005,326.283,5.5512,327.668485193877
"1903_01_TeamNE_TeamA2",282,72,283,9352796,8,2,280,"TeamA2","TeamNE",72,8,"Top",2592,2790,2526,2053,2382,1972,1557,1751,2973,7071,6000,0,0,4,FALSE,TRUE,12031,73.4565,349.773,5.00703,357.40314621062
