"game_str","play_id","timestamp_hit","at_bat","play_per_game","player_position","timestamp_bounce","bounce_position_x","bounce_position_y","field_x","field_y","hangtime","bounce_dist_from_kmeanstart","out"
"1903_01_TeamNE_TeamA2",36,1009.761,8,36,9,1013.226,51.1488,252.3936,123.1272,278.8737,3.46500000000003,78.1108616083213,0
"1903_01_TeamNE_TeamA2",112,3483.972,28,112,9,3486.414,172.482,189.0894,138.4293,252.7245,2.44200000000001,211.843661574482,0
"1903_02_TeamNE_TeamA2",174,6822.787,58,175,9,6825.037,61.8585,200.7963,119.6049,273.5898,2.25,126.411363749825,0
"1903_02_TeamNE_TeamA2",198,7671.687,65,199,9,7674.037,78.705,248.649,138.6144,254.1195,2.35000000000036,100.972486569924,0
"1903_03_TeamNE_TeamA2",27,648.878,7,27,9,652.278,226.0887,238.9209,131.502,243.3624,3.39999999999998,238.275011793431,0
"1903_03_TeamNE_TeamA2",153,4563.378,41,154,9,4568.578,148.6161,335.229,114.1668,251.3433,5.20000000000073,151.900880648438,0
"1903_05_TeamND_TeamA2",205,6492.062,47,205,9,6495.962,135.8976,164.5602,123.7038,248.1603,3.90000000000055,200.139207934669,0
"1903_06_TeamND_TeamA2",140,4530.074,42,142,9,4532.024,81.3762,214.7541,117.6711,267.3252,1.95000000000073,126.334507862976,0
"1903_06_TeamND_TeamA2",212,7120.574,62,215,9,7123.424,169.7703,218.436,112.3488,256.6101,2.85000000000036,194.133209769542,0
"1903_07_TeamND_TeamA2",85,2420.973,21,86,9,2425.123,59.9064,324.573,112.3449,250.5969,4.15000000000009,62.7732416611808,1
"1903_09_TeamNJ_TeamB",137,5142.915,37,138,9,5145.215,86.007,231.1581,128.3643,259.62,2.30000000000018,117.813811699577,0
"1903_09_TeamNJ_TeamB",188,7264.265,51,191,9,7267.665,70.788,243.8808,140.2359,247.6395,3.39999999999964,97.9971233960149,0
"1903_09_TeamNJ_TeamB",214,8341.615,58,217,9,8344.715,51.7785,218.6589,133.5483,248.115,3.10000000000036,105.901850028315,0
"1903_11_TeamNC_TeamA1",26,820.05,9,26,9,823.3,84.2124,281.208,141.3951,255.0885,3.25,90.2732436180313,0
"1903_11_TeamNC_TeamA1",124,9541.636,35,125,9,9544.586,106.4616,290.1327,130.8132,239.6256,2.94999999999891,109.572337690957,0
"1903_11_TeamNC_TeamA1",169,11076.936,50,170,9,11078.636,102.6564,167.2848,119.8914,241.3371,1.70000000000073,176.796634552402,0
"1903_11_TeamNC_TeamA1",205,12502.836,63,206,9,12505.786,90.2502,248.0949,112.8801,279.9657,2.95000000000073,110.648877755157,0
"1903_12_TeamNC_TeamA1",61,1941.098,14,61,9,1944.848,104.1507,335.265,132.3948,268.1406,3.75,108.290194591294,0
"1903_12_TeamNC_TeamA1",69,2221.654,17,69,9,2223.404,56.6136,197.4591,133.7325,264.6984,1.75,126.837707061246,0
"1903_14_TeamNG_TeamA3",67,2156.501,19,67,9,2158.751,58.3464,195.3135,128.7243,264.9051,2.25,129.538666514147,0
"1903_14_TeamNG_TeamA3",87,2840.472,26,87,9,2843.972,57.8109,217.8537,124.3092,256.8615,3.5,109.724368513141,0
"1903_15_TeamNG_TeamA3",301,10359.619,77,301,9,10362.769,195.4536,212.9223,116.3208,232.1067,3.14999999999964,219.487965525736,0
"1903_16_TeamNI_TeamA3",63,1915.218,20,64,9,1917.568,155.2254,187.8537,134.4999,239.0625,2.34999999999991,198.699009658906,0
"1903_16_TeamNI_TeamA3",204,6477.718,56,205,9,6480.018,133.1115,169.2876,136.1274,246.1704,2.30000000000018,194.790652087766,0
"1903_18_TeamNI_TeamA3",110,3447.181,34,111,9,3451.531,154.995,171.5745,123.7674,249.0597,4.34999999999991,208.954952740786,0
"1903_19_TeamNL_TeamB",41,1219.551,11,42,9,1221.001,59.4792,179.9697,130.5684,251.4777,1.45000000000005,143.811680843401,0
"1903_19_TeamNL_TeamB",141,4837.401,40,145,9,4839.201,101.7576,182.2023,125.2473,246.4161,1.80000000000018,164.394758010331,0
"1903_20_TeamNL_TeamB",134,4391.266,36,134,9,4393.716,90.321,178.7769,99.0894,270.5577,2.45000000000073,160.281963060395,0
"1903_20_TeamNL_TeamB",185,6272.316,49,186,9,6275.566,155.3646,167.1999,108.3921,272.3895,3.25,212.157964281255,0
"1903_21_TeamNL_TeamB",63,1954.958,18,65,9,1956.658,104.463,147.3972,119.7612,253.0125,1.69999999999982,194.219422412279,0
"1903_22_TeamNA_TeamA1",6,110.963,3,6,9,112.963,148.3743,183.2289,119.8446,250.1187,2,196.312893203565,0
"1903_22_TeamNA_TeamA1",29,711.763,8,29,9,715.763,204.7248,242.838,122.4588,273.3972,4,216.735658211565,0
"1903_22_TeamNA_TeamA1",34,832.663,9,34,9,835.163,99.7914,233.9514,136.1331,265.2708,2.5,126.651575229134,0
"1903_22_TeamNA_TeamA1",80,2206.513,20,81,9,2208.563,93.6687,171.5784,126.924,235.9101,2.05000000000018,168.108314470083,0
"1903_22_TeamNA_TeamA1",138,3902.913,36,139,9,3905.413,85.908,235.5483,129.5529,238.767,2.5,114.834097516076,0
"1903_22_TeamNA_TeamA1",153,4537.463,42,154,9,4540.463,141.8718,190.5765,121.5834,236.8071,3,186.605191375908,0
"1903_22_TeamNA_TeamA1",209,6416.063,55,210,9,6418.963,115.0845,208.0857,135.6621,249.912,2.89999999999964,154.871078995825,0
"1903_23_TeamNA_TeamA1",6,111.81,1,6,9,114.51,156.375,189.2373,126.0633,237.6303,2.7,198.759449245534,0
"1903_23_TeamNA_TeamA1",79,2366.044,20,81,9,2369.244,189.4293,225.1974,132.5214,266.8083,3.20000000000027,208.807497955925,0
"1903_23_TeamNA_TeamA1",187,5767.594,45,192,9,5769.694,142.1295,186.981,126.5949,262.5165,2.10000000000036,189.128143812529,0
"1903_24_TeamNA_TeamA1",31,960.419,10,31,9,964.869,148.3743,337.302,122.5212,260.1693,4.45000000000005,152.016326172463,0
"1903_25_TeamNH_TeamA3",27,775.711,7,27,9,779.811,119.7876,335.511,125.0439,246.4659,4.10000000000002,123.609500045131,0
"1903_25_TeamNK_TeamB",157,5976.265,48,162,9,5979.465,189.4479,239.9901,113.9805,262.4166,3.19999999999982,203.242607808162,0
"1903_25_TeamNK_TeamB",159,6053.715,49,164,9,6056.015,100.7952,237.7434,168.3306,243.4962,2.30000000000018,125.217822950621,0
"1903_25_TeamNK_TeamB",250,9580.365,76,260,9,9582.765,68.1474,197.6181,115.7358,260.2812,2.39999999999964,132.360538869194,0
"1903_26_TeamNK_TeamB",130,4310.929,35,133,9,4313.879,81.237,195.093,132.6222,224.046,2.94999999999982,141.712995069873,0
"1903_26_TeamNK_TeamB",188,6260.529,50,193,9,6262.279,83.9733,180.9678,113.4912,281.5293,1.75,154.908449978727,0
"1903_27_TeamNH_TeamA3",151,7389.624,43,154,9,7394.724,31.4616,231.2457,118.0524,254.4564,5.10000000000036,85.5832967443152,1
"1903_27_TeamNH_TeamA3",168,8008.374,47,171,9,8010.774,120.7593,229.5888,107.4516,269.757,2.40000000000055,146.295177954172,0
"1903_27_TeamNK_TeamB",70,2633.153,19,70,9,2636.519,80.0829,298.6125,120.6813,245.9211,3.36599999999999,82.1556195584937,0
"1903_27_TeamNK_TeamB",83,3085.913,24,83,9,3087.761,89.1849,182.4966,109.347,260.946,1.84799999999996,156.584386614503,0
"1903_27_TeamNK_TeamB",187,6935.241,58,187,9,6937.848,69.3177,240.5943,115.1199,260.778,2.60699999999997,99.2040522917233,0
"1903_27_TeamNK_TeamB",254,9367.904,76,254,9,9370.907,181.152,222.6735,121.4718,257.1147,3.00299999999879,202.35838168349,0
"1903_28_TeamNF_TeamA2",282,9933.801,79,282,9,9936.001,114.0714,149.9958,134.3562,262.6605,2.20000000000073,197.495651233232,0
"1903_29_TeamNF_TeamA2",171,5555.571,40,171,9,5557.721,86.3838,221.9817,116.9388,240.5529,2.14999999999964,124.432173123223,0
"1903_30_TeamNB_TeamA1",33,949.384,8,34,9,950.984,64.1229,181.3401,125.1003,225.6957,1.60000000000002,144.609033327933,0
"1903_30_TeamNF_TeamA2",221,7073.597,58,221,9,7077.797,54.5544,214.8405,130.7451,255.4641,4.19999999999982,110.598043127178,0
"1903_30_TeamNF_TeamA2",246,8075.797,65,246,9,8079.847,9.48297,202.0776,111.3135,246.3387,4.05000000000018,108.789717034796,0
"1903_31_TeamNB_TeamA1",91,3080.588,25,92,9,3082.888,35.4264,231.3045,104.2146,254.5107,2.29999999999973,87.1215618299877,0
"1903_31_TeamNB_TeamA1",114,4014.488,33,116,9,4016.588,131.9028,207.9216,103.2645,256.401,2.10000000000036,167.970149052913,0
