"game_str","play_id","timestamp_catch","timestamp_hit","player_position","field_x_catch","field_y_catch","field_x_hit","field_y_hit","straight_distance","hit_timestamp_sec","catch_timestamp_sec","time_difference_sec","average_speed_fps","move_x","move_y","bounce_dist_from_kmeanstart","out"
"1903_01_TeamNE_TeamA2",112,3489978,3483972,9,187.0605,235.3566,138.4293,252.7245,51.6394961618527,3483.972,3489.978,6.00599999999986,8.59798470893339,48.6312,-17.3679,77.1335687221199,1
"1903_01_TeamNE_TeamA2",123,3881226,3877860,9,107.4234,256.7394,107.4105,258.2535,1.51415495244045,3877.86,3881.226,3.36599999999999,0.449838072620458,0.0129000000000019,-1.51409999999998,24.8732141051373,1
"1903_01_TeamNE_TeamA2",125,4071537,4064607,9,188.9577,227.8644,128.4324,255.5562,66.5593549197256,4064.607,4071.537,6.92999999999984,9.60452451944115,60.5253,-27.6918,79.0659318331859,1
"1903_01_TeamNE_TeamA2",214,6899013,6894393,9,121.1577,253.5636,119.2392,251.8224,2.59083378278115,6894.393,6899.013,4.61999999999989,0.560786533069527,1.91850000000001,1.74120000000002,24.2792733468282,1
"1903_01_TeamNE_TeamA2",220,7049691,7043850,9,109.0476,272.1309,126.2007,245.6577,31.5445582921999,7043.85,7049.691,5.84099999999944,5.40054071087193,-17.1531,26.4732,40.1421997475226,1
"1903_01_TeamNE_TeamA2",253,8297224,8292307,9,91.8249,247.6329,108.6726,254.9967,18.3866948016766,8292.307,8297.224,4.91699999999946,3.73941321978413,-16.8477,-7.3638,23.973356511344,1
"1903_01_TeamNE_TeamA2",298,9937920,9933927,9,140.7615,244.6056,137.7633,250.5693,6.67494726046581,9933.927,9937.92,3.99300000000039,1.6716622240083,2.99820000000003,-5.96369999999999,33.2441127661726,1
"1903_01_TeamNE_TeamA2",310,10344810,10338540,9,179.0589,239.5638,134.2938,262.3359,50.2243239518463,10338.54,10344.81,6.26999999999862,8.01025900348602,44.7651,-22.7721,69.4718845264039,1
"1903_01_TeamNE_TeamA2",314,10494631,10489582,9,154.5762,232.2519,140.1507,256.845,28.511675114942,10489.582,10494.631,5.04899999999907,5.64699447711373,14.4255,-24.5931,44.5769117374679,1
"1903_01_TeamNE_TeamA2",325,10894492,10889212,9,134.1933,254.2197,126.8031,250.176,8.42416558063764,10889.212,10894.492,5.28000000000065,1.5954859054236,7.39019999999999,4.0437,32.8486047341436,1
"1903_01_TeamNE_TeamA2",36,1013886,1009761,9,117.993,275.9904,123.1272,278.8737,5.88841477224557,1009.761,1013.886,4.125,1.42749449024135,-5.13420000000001,-2.88329999999996,44.7106624996768,1
"1903_01_TeamNE_TeamA2",87,2704709,2700386,9,108.1692,257.6076,119.3955,256.1406,11.3217445956884,2700.386,2704.709,4.32299999999987,2.61895549287272,-11.2263,1.46699999999998,25.6729625559654,1
"1903_01_TeamNE_TeamA2",91,2811134,2805722,9,134.8659,231.9354,113.6835,257.0844,32.8810929070188,2805.722,2811.134,5.41199999999981,6.07558996803769,21.1824,-25.149,24.8659839131694,1
"1903_01_TeamNE_TeamA2",94,2901752,2898221,9,113.1162,258.2514,113.913,260.4273,2.31720328197593,2898.221,2901.752,3.53099999999995,0.656245619364477,-0.79679999999999,-2.17590000000001,26.4357088877904,1
"1903_02_TeamNE_TeamA2",169,6592887,6588637,9,144.7239,305.4069,132.8418,247.2441,59.3640935604175,6588.637,6592.887,4.25,13.9680220142159,11.8821,58.1628,81.2054320770477,1
"1903_02_TeamNE_TeamA2",174,6827137,6822787,9,79.2672,273.8253,119.6049,273.5898,40.3383874434762,6822.787,6827.137,4.34999999999945,9.27319251574282,-40.3377,0.235500000000002,51.9024153188462,1
"1903_02_TeamNE_TeamA2",198,7675637,7671687,9,104.6508,306.6945,138.6144,254.1195,62.5911874784302,7671.687,7675.637,3.94999999999982,15.8458702477046,-33.9636,52.575,74.8857948538306,1
"1903_02_TeamNE_TeamA2",93,3939887,3935837,9,148.6533,278.2698,116.3949,250.6509,42.4665516350221,3935.837,3939.887,4.05000000000018,10.4855683049433,32.2584,27.6189,60.2907289135734,1
"1903_03_TeamNE_TeamA2",153,4571878,4563378,9,136.455,337.8579,114.1668,251.3433,89.3394642495689,4563.378,4571.878,8.5,10.5105252058316,22.2882,86.5146,109.113528113658,1
"1903_03_TeamNE_TeamA2",158,4697178,4691778,9,82.3089,286.3239,123.279,243.3867,59.3477231058614,4691.778,4697.178,5.39999999999964,10.9903190936788,-40.9701,42.9372,60.9744465363975,1
"1903_03_TeamNE_TeamA2",212,6608978,6602328,9,110.7594,213.7572,131.3289,254.8257,45.9317539671631,6602.328,6608.978,6.64999999999964,6.90703067175422,-20.5695,-41.0685,18.2585990755041,1
"1903_03_TeamNE_TeamA2",217,6951478,6946428,9,105.9222,310.1748,126.2529,241.3812,71.7349061716122,6946.428,6951.478,5.05000000000018,14.2049319151702,-20.3307,68.7936,78.2810820561392,1
"1903_03_TeamNE_TeamA2",267,8558778,8551528,9,119.9007,289.8246,143.5872,249.3807,46.8695992031082,8551.528,8558.778,7.25,6.46477230387699,-23.6865,40.4439,58.6660738898556,1
"1903_03_TeamNE_TeamA2",27,654428,648878,9,214.8186,219.5772,131.502,243.3624,86.6452051448896,648.878,654.428,5.54999999999995,15.611748674755,83.3166,-23.7852,105.552190246342,1
"1903_03_TeamNE_TeamA2",68,1920978,1917878,9,89.3958,277.0227,121.4868,239.3418,49.4942674035084,1917.878,1920.978,3.10000000000014,15.9658927108085,-32.091,37.6809,49.5133979133931,1
"1903_03_TeamNE_TeamA2",99,2821828,2816078,9,172.0803,193.3431,107.2626,247.569,84.5090673484212,2816.078,2821.828,5.75,14.6972291040733,64.8177,-54.2259,73.1322060770766,1
"1903_04_TeamNC_TeamA1",131,4618319,4615619,9,120.4809,222.393,114.207,253.0149,31.2580002690511,4615.619,4618.319,2.70000000000073,11.5770371366825,6.27390000000001,-30.6219,14.2177253388156,1
"1903_04_TeamNC_TeamA1",139,5002019,4997369,9,186.6369,240.2508,136.2825,242.6964,50.4137536662368,4997.369,5002.019,4.65000000000055,10.8416674551034,50.3544,-2.44560000000001,77.0797648040651,1
"1903_04_TeamNC_TeamA1",14,512119,506419,9,90.2124,281.6235,108.9732,257.2878,30.7277384642931,506.419,512.119,5.70000000000005,5.39083130952507,-18.7608,24.3357,53.4232240323438,1
"1903_04_TeamNC_TeamA1",39,1390919,1386919,9,141.4131,309.1074,147.342,273.9861,35.6182196200203,1386.919,1390.919,4,8.90455490500507,-5.92890000000003,35.1213,83.2606388779836,0
"1903_04_TeamNC_TeamA1",93,3221769,3216069,9,195.957,214.7073,113.2806,260.7183,94.6171191590613,3216.069,3221.769,5.69999999999982,16.5994945893095,82.6764,-46.011,87.679206898158,1
"1903_05_TeamND_TeamA2",192,5970812,5965662,9,123.7377,276.2823,123.579,258.2739,18.009099262595,5965.662,5970.812,5.14999999999964,3.49691247817403,0.15870000000001,18.0084,46.3642803737964,1
"1903_05_TeamND_TeamA2",205,6496612,6492062,9,133.4733,234.087,123.7038,248.1603,17.131868057512,6492.062,6496.612,4.55000000000018,3.76524572692557,9.76949999999999,-14.0733,23.5658944640342,1
"1903_05_TeamND_TeamA2",243,7870812,7866962,9,122.8575,255.3495,122.8974,260.9856,5.63624123153008,7866.962,7870.812,3.84999999999945,1.46395876143659,-0.0399000000000029,-5.63609999999997,26.6554770450652,1
"1903_05_TeamND_TeamA2",254,8161462,8155112,9,99.9504,258.9381,108.8445,260.7105,9.06898101056563,8155.112,8161.462,6.35000000000036,1.42818598591576,-8.8941,-1.7724,28.7516206807547,1
"1903_05_TeamND_TeamA2",301,9757112,9754012,9,125.4759,265.8423,125.2155,266.6469,0.845688666117729,9754.012,9757.112,3.09999999999854,0.272802795521976,0.26039999999999,-0.804599999999994,37.2129648120114,1
"1903_05_TeamND_TeamA2",308,9981762,9977512,9,116.0001,265.4115,110.7873,271.2675,7.84002677546448,9977.512,9981.762,4.25,1.84471218246223,5.2128,-5.856,33.9459796185056,1
"1903_05_TeamND_TeamA2",338,11257712,11252062,9,124.6974,278.0688,124.0854,246.1887,31.8859737190195,11252.062,11257.712,5.64999999999964,5.64353517150823,0.611999999999995,31.8801,48.3564669946017,1
"1903_05_TeamND_TeamA2",358,11937512,11932862,9,128.3868,261.8259,118.3458,272.5149,14.6654833537801,11932.862,11937.512,4.65000000000146,3.15386738790871,10.041,-10.689,35.0379611999614,1
"1903_05_TeamND_TeamA2",67,1878012,1871462,9,97.9548,229.9584,122.0229,258.7224,37.5052147522181,1871.462,1878.012,6.54999999999995,5.72598698507151,-24.0681,-28.764,12.216995277072,1
"1903_05_TeamND_TeamA2",82,2351012,2347362,9,114.9477,260.1558,117.4272,263.3223,4.02177106509059,2347.362,2351.012,3.65000000000009,1.10185508632616,-2.4795,-3.16649999999998,28.5872140812987,1
"1903_05_TeamND_TeamA2",91,2783062,2778912,9,125.3694,235.8186,118.8381,245.5335,11.7062872722311,2778.912,2783.062,4.15000000000009,2.82079211379057,6.5313,-9.7149,15.8366714406784,1
"1903_06_TeamND_TeamA2",101,3228624,3222274,9,143.9424,251.2149,127.7814,244.1244,17.6480342035593,3222.274,3228.624,6.34999999999991,2.77921798481253,16.161,7.09049999999999,39.0038318600878,1
"1903_06_TeamND_TeamA2",140,4533324,4530074,9,117.4719,264.2496,117.6711,267.3252,3.08204412687425,4530.074,4533.324,3.25,0.948321269807461,-0.19919999999999,-3.07560000000001,33.1038666891044,1
"1903_06_TeamND_TeamA2",180,6041574,6035724,9,101.214,269.2644,122.9586,255.7947,25.578515344914,6035.724,6041.574,5.84999999999945,4.37239578545579,-21.7446,13.4697,38.2861502812701,1
"1903_06_TeamND_TeamA2",204,6869274,6865724,9,129.2766,244.9515,129.5331,247.8939,2.95355887193737,6865.724,6869.274,3.55000000000018,0.831988414630202,-0.256499999999988,-2.94239999999999,23.2234506439073,1
"1903_06_TeamND_TeamA2",210,7059024,7054774,9,120.4539,244.8207,122.0226,241.0884,4.04856554596808,7054.774,7059.024,4.25,0.952603657874843,-1.56869999999999,3.73229999999998,16.5425020386881,1
"1903_06_TeamND_TeamA2",212,7125824,7120574,9,137.6928,245.703,112.3488,256.6101,27.5913603580904,7120.574,7125.824,5.25,5.25549721106483,25.344,-10.9071,30.8976274305973,1
"1903_06_TeamND_TeamA2",66,1997524,1992724,9,120.7776,247.3692,119.4495,260.2962,12.9950443866114,1992.724,1997.524,4.79999999999995,2.7073009138774,1.32810000000001,-12.927,18.7714935580523,1
"1903_07_TeamND_TeamA2",189,5775373,5769323,9,206.1171,231.0189,115.8039,250.5384,92.3985117547355,5769.323,5775.373,6.04999999999927,15.2724812817763,90.3132,-19.5195,96.1221070806295,1
"1903_07_TeamND_TeamA2",205,6439823,6435173,9,179.5104,226.7586,104.8341,254.4714,79.6526777047074,6435.173,6439.823,4.65000000000055,17.1296081085372,74.6763,-27.7128,69.7077325848431,1
"1903_07_TeamND_TeamA2",210,6583923,6578073,9,84.9276,173.7021,113.034,246.5589,78.0902236339479,6578.073,6583.923,5.84999999999945,13.3487561767445,-28.1064,-72.8568,63.4607783293744,1
"1903_07_TeamND_TeamA2",247,7818073,7814923,9,91.6545,212.0658,116.8113,235.6524,34.4846674016149,7814.923,7818.073,3.15000000000055,10.9475134608282,-25.1568,-23.5866,27.0911369250166,1
"1903_07_TeamND_TeamA2",284,9323023,9318023,9,108.4413,295.3209,120.3603,245.8461,50.8902583609083,9318.023,9323.023,5,10.1780516721817,-11.919,49.4748,63.3400814847913,1
"1903_07_TeamND_TeamA2",343,11646223,11643073,9,101.3154,212.4987,122.6217,247.8849,41.3054665889395,11643.073,11646.223,3.14999999999964,13.1128465361728,-21.3063,-35.3862,21.3476691666795,1
"1903_07_TeamND_TeamA2",85,2426423,2420973,9,67.3824,339.5835,112.3449,250.5969,99.7007592037794,2420.973,2426.423,5.44999999999982,18.2937172850977,-44.9625,88.9866,115.717195360111,0
"1903_07_TeamND_TeamA2",91,2619873,2615173,9,116.3499,284.9316,133.605,231.2886,56.3498884205639,2615.173,2619.873,4.70000000000027,11.9893379618214,-17.2551,53.643,53.3111199335561,1
"1903_07_TeamND_TeamA2",94,2702123,2698473,9,61.8735,247.5813,113.052,258.4146,52.3125152438688,2698.473,2702.123,3.65000000000009,14.332195957224,-51.1785,-10.8333,50.585935910488,1
"1903_08_TeamNJ_TeamB",132,4573617,4565767,9,228.5784,223.8942,128.388,263.6133,107.776264348742,4565.767,4573.617,7.85000000000036,13.7294604265907,100.1904,-39.7191,118.855125847395,1
"1903_08_TeamNJ_TeamB",147,5068967,5065967,9,114.6093,218.6076,120.6972,255.1767,37.0723832686813,5065.967,5068.967,3,12.3574610895604,-6.08789999999999,-36.5691,14.1634044018379,1
"1903_08_TeamNJ_TeamB",46,1605817,1600267,9,125.8902,330.8406,115.1745,257.3871,74.231010290444,1600.267,1605.817,5.54999999999995,13.3749568090891,10.7157,73.4535,100.109753093293,1
"1903_08_TeamNJ_TeamB",51,1762517,1759667,9,141.3435,225.3546,118.2354,256.1316,38.4864653431567,1759.667,1762.517,2.85000000000014,13.5040229274227,23.1081,-30.777,32.0402299213036,1
"1903_08_TeamNJ_TeamB",7,201317,198067,9,97.3314,234.267,125.5044,267.6828,43.7073634372974,198.067,201.317,3.25,13.4484195191684,-28.173,-33.4158,12.8698374100064,1
"1903_08_TeamNJ_TeamB",79,2654667,2648217,9,86.949,298.1892,124.791,261.951,52.3948862317688,2648.217,2654.667,6.44999999999982,8.12323817546827,-37.842,36.2382,70.0882215328653,1
